		名詞	
@ありす	雅符「春の京人形」	名詞	妖：アリス 3面---L
@ありす	咒詛「魔彩光の上海人形」	名詞	妖：アリス 3面ENH-
@ありす	咒詛「首吊り蓬莱人形」	名詞	妖：アリス 3面---L
@ありす	戦符「リトルレギオン」	名詞	萃：アリスの壱符B / 緋非：アリスのスペル
@ありす	戦操「ドールズウォー」	名詞	萃：アリスの弐符B / 緋非：アリスのスペル
@ありす	咒符「上海人形」	名詞	萃：アリスの壱符C / 緋非：アリスのスペル
@ありす	咒詛「蓬莱人形」	名詞	(咒詛) 萃：アリスの弐符C / 緋非：アリスのスペル //() 永：妹紅 Extra
@ありす	人形操創	名詞	萃：アリス / 緋非：アリスの必殺技
@ありす	人形無操	名詞	萃：アリス / 緋非：アリスの必殺技
@ありす	人形置操	名詞	萃：アリス / 緋非：アリスの必殺技
@ありす	符の壱「アーティフルチャンター」	名詞	萃：アリスのストーリースペル
@ありす	符の弐「ドールクルセイダー」	名詞	萃：アリスのストーリースペル
@ありす	魔光「デヴィリーライトレイ」	名詞	萃：アリスのストーリースペル
@ありす	「グランギニョル座の怪人」	名詞	永：アリス LastWord
@ありす	スペクトルミステリー	名詞	永：アリスのショット
@ありす	上海人形	名詞	永：アリスの使い魔 / 萃：アリスの壱符C / 緋非：アリスのスペル
@ありす	魔符「アーティフルサクリファイス」	名詞	永：アリスの自機スペル / 萃：アリスの壱符A / 緋非：アリスのスペル
@ありす	魔操「リターンイナニメトネス」	名詞	永：アリスの自機ラストスペル / 萃：アリスの弐符A / 緋非：アリスのスペル
@ありす	操符「ドールズインシー」	名詞	文：3-3 アリス
@ありす	呪符「ストロードールカミカゼ」	名詞	文：3-5 アリス
@ありす	赤符「ドールミラセティ」	名詞	文：3-7 アリス
@ありす	人形振起	名詞	緋非：アリスの必殺技
@ありす	人形帰巣	名詞	緋非：アリスの必殺技
@ありす	人形火葬	名詞	緋非：アリスの必殺技
@ありす	人形千槍	名詞	緋非：アリスの必殺技
@ありす	人形ＳＰ	名詞	緋非：アリスの必殺技
@ありす	大江戸爆薬からくり人形	名詞	緋非：アリスの必殺技
@ありす	シーカーワイヤー	名詞	緋非：アリスの必殺技
@ありす	偵符「シーカードールズ」	名詞	緋非：アリスのスペル
@ありす	紅符「和蘭人形」	名詞	緋非：アリスのスペル
@ありす	人形「未来文楽」	名詞	緋非：アリスのスペル
@ありす	注力「トリップワイヤー」	名詞	緋非：アリスのスペル
@ありす	足軽「スーサイドスクワッド」	名詞	緋：アリスのストーリースペル
@ありす	剣符「ソルジャーオブクロス」	名詞	緋：アリスのストーリースペル
@ありす	人形「魂のないフォークダンス」	名詞	緋：アリスのストーリースペル
@ありす	人形伏兵	名詞	非：アリスの必殺技
@ありす	人形弓兵	名詞	非：アリスの必殺技
@ありす	槍符「キューティ大千槍」	名詞	非：アリスのスペル
@ありす	人形「レミングスパレード」	名詞	非：アリスのスペル
@ありす	人形「セミオートマトン」	名詞	非：アリスのストーリースペル
@ありす	騎士「ドールオブラウンドテーブル」	名詞	非：アリスのストーリースペル
@ありす	犠牲「スーサイドパクト」	名詞	非：アリスのストーリースペル
@ありす	試験中「レベルティターニア」	名詞	非：アリスのストーリースペル
@ありす	試験中「ゴリアテ人形」	名詞	非：アリスのストーリースペル
@いく	美しき緋の衣	名詞	緋非：衣玖の二つ名
@いく	空飛ぶレアアイテム	名詞	DS：衣玖の二つ名(ターゲットコードネーム)
@いく	空気を読む程度の能力	名詞	緋：衣玖の能力
@いく	龍魚の一撃	名詞	緋非：衣玖の必殺技
@いく	羽衣は水の如く	名詞	緋非：衣玖の必殺技
@いく	龍魚の怒り	名詞	緋非：衣玖の必殺技
@いく	静電誘導弾	名詞	緋非：衣玖の必殺技
@いく	龍神の一撃	名詞	緋非：衣玖の必殺技
@いく	羽衣は風の如く	名詞	緋非：衣玖の必殺技
@いく	龍神の怒り	名詞	緋非：衣玖の必殺技
@いく	龍神の稲光り	名詞	緋非：衣玖の必殺技
@いく	龍の眼	名詞	緋非：衣玖の必殺技
@いく	電符「雷鼓弾」	名詞	緋非：衣玖のスペル
@いく	魚符「龍魚ドリル」	名詞	緋非：衣玖のスペル
@いく	雷符「エレキテルの龍宮」	名詞	緋非：衣玖のスペル
@いく	光星「光龍の吐息」	名詞	緋非：衣玖のスペル
@いく	雷魚「雷雲魚遊泳弾」	名詞	緋非：衣玖のスペル
@いく	羽衣「羽衣は空の如く」	名詞	緋非：衣玖のスペル
@いく	棘符「雷雲棘魚」	名詞	緋：衣玖の自機・ストーリースペル / 非：衣玖のスペル
@いく	龍魚「龍宮の使い遊泳弾」	名詞	緋非：衣玖のスペル / DS：10-8 衣玖
@いく	光珠「龍の光る眼」	名詞	緋：衣玖のストーリースペル
@いく	雷符「神鳴り様の住処」	名詞	緋：衣玖のストーリースペル
@いく	雲界「玄雲海の雷庭」	名詞	緋：衣玖のストーリースペル
@いく	水得の龍魚	名詞	非：衣玖の必殺技
@いく	天女の一撃	名詞	非：衣玖の必殺技
@いく	龍神の髭	名詞	非：衣玖の必殺技
@いく	羽衣「羽衣は時の如く」	名詞	非：衣玖のスペル
@いく	珠符「五爪龍の珠」	名詞	非：衣玖のスペル / DS：10-4 衣玖
@いく	雷符「ライトニングフィッシュ」	名詞	DS：10-2 衣玖
@いく	龍宮「タイヤヒラメダンス」	名詞	DS：10-6 衣玖
@いざなぎ	緑のサナトリウム	名詞	伊弉諾物質：Tr.01
@いざなぎ	牛に引かれて善光寺参り	名詞	伊弉諾物質：Tr.02
@いざなぎ	ハートフェルトファンシー	名詞	地霊殿：4面のテーマ / 伊弉諾物質：Tr.03
@いざなぎ	六十年目の東方裁判　～ Fate of Sixty Years	名詞	花映塚：四季映姫のテーマ // 紫香花：Tr.13 / 伊弉諾物質：Tr.04
@いざなぎ	アガルタの風	名詞	伊弉諾物質：Tr.05
@いざなぎ	イザナギオブジェクト	名詞	伊弉諾物質：Tr.06
@いざなぎ	妖怪裏参道	名詞	神霊廟：Extraステージのテーマ / 伊弉諾物質：Tr.07
@いざなぎ	アンノウンX　～ Unfound Adventure	名詞	非想天則：ラストボスのテーマ / 伊弉諾物質：Tr.08
@いざなぎ	日本中の不思議を集めて	名詞	伊弉諾物質：Tr.09
@いざなぎ	素敵な墓場で暮しましょ	名詞	神霊廟：3面のテーマ / 伊弉諾物質：Tr.10
@いちりん	守り守られし大輪	名詞	星口：一輪＆雲山の二つ名
@いちりん	大空に咲く花と親父	名詞	DS：一輪＆雲山の二つ名(ターゲットコードネーム)
@いちりん	圧倒する妖怪行者	名詞	心：一輪＆雲山の二つ名
@いちりん	入道を使う程度の能力	名詞	星口：一輪の能力
@いちりん	鉄拳「問答無用の妖怪拳」	名詞	星：一輪 3面EN--
@いちりん	神拳「雲上地獄突き」	名詞	星：一輪 3面--H-
@いちりん	神拳「天海地獄突き」	名詞	星：一輪 3面---L
@いちりん	拳符「天網サンドバッグ」	名詞	星：一輪 3面EN--
@いちりん	連打「雲界クラーケン殴り」	名詞	星：一輪 3面--H-
@いちりん	連打「キングクラーケン殴り」	名詞	星：一輪 3面---L
@いちりん	拳打「げんこつスマッシュ」	名詞	星：一輪 3面EN--
@いちりん	潰滅「天上天下連続フック」	名詞	星：一輪 3面--HL
@いちりん	拳符「怒りの大雲塊」	名詞	心：一輪＆雲山のストーリースペル
@いちりん	入道「夏の幻想太郎」	名詞	心：一輪＆雲山のストーリースペル
@いちりん	垂雲の鉄槌	名詞	心：一輪＆雲山の必殺技
@いちりん	一握りの浮雲	名詞	心：一輪＆雲山の必殺技
@いちりん	小さな神立雲	名詞	心：一輪＆雲山の必殺技
@いちりん	怒りの走雲	名詞	心：一輪＆雲山の必殺技
@いちりん	嶺雲のご来光	名詞	心：一輪＆雲山の必殺技
@いちりん	殴殺の流雲	名詞	心：一輪＆雲山の必殺技
@いちりん	嵐符「仏罰の野分雲」	名詞	心：一輪＆雲山のスペル
@いちりん	積乱「見越し入道雲」	名詞	心：一輪＆雲山のスペル
@いちりん	「華麗なる親父時代」	名詞	心：一輪＆雲山 LastWord
@いちりん	静かなる怒気	名詞	心：一輪＆雲山の特技
@いちりん	大喝「時代親父大目玉」	名詞	星：一輪 3面EN--
@いちりん	忿怒「天変大目玉焼き」	名詞	星：一輪 3面--H-
@いちりん	忿怒「空前絶後大目玉焼き」	名詞	星：一輪 3面---L
@いちりん	拳骨「天空鉄槌落とし」	名詞	DS：5-3 一輪
@いちりん	稲妻「帯電入道」	名詞	DS：5-5 一輪
@いちりん	鉄拳「入道にょき」	名詞	DS：5-7 一輪
@うつほ	熱かい悩む神の火	名詞	地非口：空の二つ名
@うつほ	地底の太陽	名詞	DS：空の二つ名(ターゲットコードネーム)
@うつほ	核融合を操る程度の能力	名詞	地口：空の能力
@うつほ	核熱「ニュークリアフュージョン」	名詞	地：空 6面EN--
@うつほ	核熱「ニュークリアエクスカーション」	名詞	地：空 6面--H-
@うつほ	核熱「核反応制御不能」	名詞	地：空 6面---L
@うつほ	爆符「プチフレア」	名詞	地：空 6面E---
@うつほ	爆符「メガフレア」	名詞	地：空 6面-N-- / 非：空のスペル
@うつほ	爆符「ギガフレア」	名詞	地：空 6面--H- / 非：空のスペル
@うつほ	爆符「ペタフレア」	名詞	地：空 6面---L
@うつほ	焔星「フィクストスター」	名詞	地：空 6面EN-- / 非：空のスペル
@うつほ	焔星「プラネタリーレボリューション」	名詞	地：空 6面--H-
@うつほ	焔星「十凶星」	名詞	地：空 6面---L / 非：空のスペル
@うつほ	「地獄極楽メルトダウン」	名詞	地：空 6面EN--
@うつほ	「ヘルズトカマク」	名詞	地：空 6面--HL
@うつほ	「地獄の人工太陽」	名詞	地：空 6面EN-- / 非：空のスペル
@うつほ	「サブタレイニアンサン」	名詞	地：空 6面--HL / 非：空のスペル
@うつほ	グラウンドメルト	名詞	非：空の必殺技
@うつほ	ヘルゲイザー	名詞	非：空の必殺技
@うつほ	レイディアントブレード	名詞	非：空の必殺技
@うつほ	フレアアップ	名詞	非：空の必殺技
@うつほ	ロケットダイブ	名詞	非：空の必殺技
@うつほ	メルティング浴びせ蹴り	名詞	非：空の必殺技
@うつほ	シューティングスター	名詞	非：空の必殺技
@うつほ	レトロ原子核モデル	名詞	非：空の必殺技
@うつほ	核熱の怨霊	名詞	非：空の必殺技
@うつほ	ブレイクサン	名詞	非：空の必殺技
@うつほ	シューティングサン	名詞	非：空の必殺技
@うつほ	地獄波動砲	名詞	非：空の必殺技
@うつほ	制御「セルフトカマク」	名詞	非：空のスペル
@うつほ	遮光「核熱バイザー」	名詞	非：空のスペル
@うつほ	核符「クリーピングサン」	名詞	非：空のスペル
@うつほ	光熱「ハイテンションブレード」	名詞	非：空のスペル
@うつほ	地熱「核ブレイズゲイザー」	名詞	非：空のスペル
@うつほ	鴉符「八咫烏ダイブ」	名詞	非：空のスペル
@うつほ	核熱「核反応制御不能ダイブ」	名詞	非：空の自機・ストーリースペル
@うつほ	「アビスノヴァ」	名詞	非：空のスペル
@うつほ	熱符「ブレイクプロミネンス」	名詞	非：空のストーリースペル
@うつほ	「ホットジュピター落下モデル」	名詞	非：空のストーリースペル
@うつほ	核熱「人工太陽の黒点」	名詞	非：空のストーリースペル
@うつほ	熔解「メルティングホワイト」	名詞	DS：8-2 空
@うつほ	巨星「レッドジャイアント」	名詞	DS：8-4 空
@うつほ	星符「巨星墜つ」	名詞	DS：8-6 空
@うつほ	七星「セプテントリオン」	名詞	DS：8-8 空
@うんざん	形や大きさを自在に変える事が出来る程度の能力	名詞	星口：雲山の能力
@えいやしょう	永夜抄　～ Eastern Night.	名詞	永夜抄：タイトル画面テーマ
@えいやしょう	幻視の夜　～ Ghostly Eyes	名詞	永夜抄：1面テーマ / 蓮台野夜行：Tr.05
@えいやしょう	蠢々秋月　～ Mooned Insect	名詞	永夜抄：1面ボス・リグルのテーマ
@えいやしょう	夜雀の歌声　～ Night Bird	名詞	永夜抄：2面テーマ
@えいやしょう	もう歌しか聞こえない	名詞	永夜抄：2面ボス・ミスティアのテーマ // [Flower Mix] 花映塚：ミスティアのテーマ
@えいやしょう	懐かしき東方の血　～ Old World	名詞	永夜抄：3面テーマ
@えいやしょう	プレインエイジア	名詞	永夜抄：3面ボス・慧音のテーマ
@えいやしょう	永夜の報い　～ Imperishable Night.	名詞	永夜抄：4面テーマ // 夢違科学世紀：Tr.06
@えいやしょう	少女綺想曲　～ Dream Battle	名詞	永：4面ボス・霊夢のテーマ // [Capriccio] 幻想郷：4面ボス・靈夢のテーマ / 幺樂団１：Tr.10 / 萃：霊夢(夜)のテーマ
@えいやしょう	恋色マスタースパーク	名詞	永夜抄：4面ボス・魔理沙のテーマ
@えいやしょう	シンデレラケージ　～ Kagome-Kagome	名詞	永夜抄：5面テーマ / Cradle：Tr.16
@えいやしょう	狂気の瞳　～ Invisible Full Moon	名詞	永夜抄：5面ボス・鈴仙のテーマ / 花映塚：鈴仙のテーマ / 緋想天：鈴仙のテーマ
@えいやしょう	ヴォヤージュ1969	名詞	永夜抄：6面テーマ / 夢違科学世紀：Tr.04
@えいやしょう	千年幻想郷　～ History of the Moon	名詞	永夜抄：6面Aボス・永琳のテーマ / 卯酉東海道：Tr.10
@えいやしょう	竹取飛翔　～ Lunatic Princess	名詞	永夜抄：6面Bボス・輝夜のテーマ / 卯酉東海道：Tr.03
@えいやしょう	ヴォヤージュ1970	名詞	永夜抄：ファイナルスペルのテーマ
@えいやしょう	エクステンドアッシュ　～ 蓬莱人	名詞	永夜抄：Extraテーマ
@えいやしょう	月まで届け、不死の煙	名詞	永夜抄：Extraボス・妹紅のテーマ / 卯酉東海道：Tr.07
@えいやしょう	月見草	名詞	永夜抄：エンディングテーマ
@えいやしょう	Eternal Dream　～ 幽玄の槭樹	名詞	永夜抄：スタッフロールテーマ // [幽玄の槭樹　～ Eternal Dream] 夢違科学世紀：Tr.11
@えいやしょう	東方妖怪小町	名詞	永夜抄：ラストワードのテーマ
@えいやしょう	蛍火の行方	名詞	永夜抄 Stage 1 タイトル
@えいやしょう	人間の消える道	名詞	永夜抄 Stage 2 タイトル
@えいやしょう	歴史喰いの懐郷	名詞	永夜抄 Stage 3 タイトル
@えいやしょう	伝説の夢の国	名詞	永夜抄 Stage 4A uncanny タイトル
@えいやしょう	魔力を含む土の下	名詞	永夜抄 Stage 4B Powerful タイトル
@えいやしょう	穢き世の美しき檻	名詞	永夜抄 Stage 5 タイトル
@えいやしょう	姫を隠す夜空の珠	名詞	永夜抄 Final A タイトル
@えいやしょう	五つの難題	名詞	永夜抄 Final B タイトル
@えいやしょう	蓬莱人形	名詞	永夜抄 ExtraStage タイトル
@えいりん	月の頭脳	名詞	永三儚：永琳の二つ名
@えいりん	街の薬屋さん	名詞	文：永琳の二つ名(ターゲットコードネーム)
@えいりん	蓬莱の薬屋さん	名詞	求：永琳の二つ名
@えいりん	あらゆる薬を作る程度の能力。天才。	名詞	永：永琳の能力
@えいりん	あらゆる薬を作る程度の能力	名詞	求：永琳の能力
@えいりん	天丸「壺中の天地」	名詞	永：永琳 6A面ENHL
@えいりん	覚神「神代の記憶」	名詞	永：永琳 6A面EN--
@えいりん	神符「天人の系譜」	名詞	永：永琳 6A面--HL
@えいりん	蘇活「生命遊戯　‐ライフゲーム‐」	名詞	永：永琳 6A面EN--
@えいりん	蘇生「ライジングゲーム」	名詞	永：永琳 6A面--HL
@えいりん	操神「オモイカネディバイス」	名詞	永：永琳 6A面EN--
@えいりん	神脳「オモイカネブレイン」	名詞	永：永琳 6A面--HL
@えいりん	天呪「アポロ１３」	名詞	永：永琳 6A面ENHL
@えいりん	秘術「天文密葬法」	名詞	永：永琳 6A面ENHL
@えいりん	禁薬「蓬莱の薬」	名詞	永：永琳 6A面ENHL
@えいりん	薬符「壺中の大銀河」	名詞	永：永琳 6B面ENHL
@えいりん	「天網蜘網捕蝶の法」	名詞	永：永琳 LastWord
@えいりん	薬符「胡蝶夢丸ナイトメア」	名詞	文：9-3 永琳
@えいりん	錬丹「水銀の海」	名詞	文：9-5 永琳
@えいりん	秘薬「仙香玉兎」	名詞	文：9-7 永琳
@おおぞら	月面ツアーへようこそ	名詞	大空魔術：Tr.01
@おおぞら	天空のグリニッジ	名詞	大空魔術：Tr.02
@おおぞら	東の国の眠らない夜	名詞	文花帖：撮影曲3 / 大空魔術：Tr.03
@おおぞら	車椅子の未来宇宙	名詞	大空魔術：Tr.04
@おおぞら	Demystify Feast	名詞	萃夢想：宴会直前の戦闘のテーマ / 大空魔術：Tr.05
@おおぞら	衛星カフェテラス	名詞	大空魔術：Tr.06
@おおぞら	G Free	名詞	大空魔術：Tr.07
@おおぞら	大空魔術　～ Magical Astronomy	名詞	大空魔術：Tr.08
@おおぞら	ネクロファンタジア	名詞	妖々夢：Phantasmボス・紫のテーマ / 大空魔術：Tr.09
@おおぞら	向こう側の月	名詞	大空魔術：Tr.10
@おりじなる	宵闇の魔術師	名詞	オリジナル
@おりじなる	Magic of Life	名詞	オリジナル
@おりじなる	Plastic Space	名詞	秋霜玉'99(秋霜玉プロトタイプ・99年度鳩山祭バージョン)：1面テーマ
@おりじなる	Inventive City	名詞	秋霜玉'99(秋霜玉プロトタイプ・99年度鳩山祭バージョン)：2面テーマ
@おりじなる	夢幻回廊	名詞	オリジナル
@おりじなる	蓬莱幻想　～ far East	名詞	秋霜玉：未使用曲(Extraテーマ)
@おりじなる	魔法少女十字軍　～ Little Little Crusader	名詞	秋霜玉：5面ボス・エーリッヒのテーマ(アレンジver) // 秋霜玉：5面ボス・エーリッヒのテーマ / 蓮台野夜行：Tr.09
@おりじなる	夜の鳩山を飛ぶ	名詞	Project Gian(秋霜玉プロトタイプ・98年度鳩山祭バージョン)BGM // [Power MIX] 求聞史紀：Tr.03
@おりじなる	Frontal Attack	名詞	秋霜玉'99(秋霜玉プロトタイプ・99年度鳩山祭バージョン)BGM(未公開)
@おりじなる	千里の道	名詞	midi練習曲 東方夢時空のエレンのテーマの原曲(未公開)
@かいきだん	怪綺談　～ Mystic Square	名詞	怪綺談：タイトル画面テーマ / 幺樂団2：Tr.01
@かいきだん	Dream Express	名詞	怪綺談：1面テーマ / 幺樂団2：Tr.02
@かいきだん	魔法陣　～ Magic Square	名詞	怪綺談：1面ボス・サラのテーマ / 幺樂団2：Tr.03
@かいきだん	夢想時空	名詞	怪綺談：2面テーマ / 幺樂団2：Tr.04
@かいきだん	霊天　～ Spiritual Heaven	名詞	怪綺談：2面ボス・ルイズのテーマ / 幺樂団2：Tr.05
@かいきだん	Romantic Children	名詞	怪綺談：3面テーマ / 幺樂団2：Tr.06
@かいきだん	プラスチックマインド	名詞	怪綺談：3面ボス・アリスのテーマ / 幺樂団2：Tr.07
@かいきだん	メイプルワイズ	名詞	怪綺談：4面テーマ / 幺樂団2：Tr.08
@かいきだん	禁断の魔法　～ Forbidden Magic	名詞	怪綺談：4面ボス・二人の魔法使いのテーマ / 幺樂団2：Tr.09
@かいきだん	真紅の少女　～ Crimson Dead!!	名詞	怪綺談：4面ボス・ユキのテーマ / 幺樂団2：Tr.10
@かいきだん	裏切りの少女　～ Judas Kiss	名詞	怪綺談：4面ボス・マイのテーマ / 幺樂団2：Tr.11
@かいきだん	the Last Judgement	名詞	怪綺談：5面テーマ / 幺樂団2：Tr.12
@かいきだん	悲しき人形　～ Doll of Misery	名詞	怪綺談：5面ボス・夢子のテーマ / 幺樂団2：Tr.13
@かいきだん	世界の果て　～ World's End	名詞	怪綺談：6面テーマ / 幺樂団2：Tr.14
@かいきだん	神話幻想　～ Infinite Being	名詞	怪綺談：6面ボス・神綺のテーマ / 幺樂団2：Tr.15
@かいきだん	不思議の国のアリス	名詞	怪綺談：Extraテーマ / 幺樂団2：Tr.16
@かいきだん	the Grimoire of Alice	名詞	怪綺談：Extraボス・アリスのテーマ / 幺樂団2：Tr.17 / 非想天則：アリスのテーマ
@かいきだん	神社	名詞	怪綺談：バッドエンドのテーマ / 幺樂団2：Tr.18
@かいきだん	Endless	名詞	怪綺談：グッドエンドのテーマ1 / 幺樂団2：Tr.19
@かいきだん	久遠の楽園	名詞	怪綺談：グッドエンドのテーマ2 / 幺樂団2：Tr.20
@かいきだん	Mystic Dream	名詞	怪綺談：スタッフロールテーマ / 幺樂団2：Tr.21
@かいきだん	Peaceful Romancer	名詞	怪綺談：Extraエンディングテーマ / 幺樂団2：Tr.23
@かいきだん	魂の休らむ所	名詞	怪綺談：ネームレジストのテーマ / 幺樂団2：Tr.22
@かいきだん	万物神気　～ Materialization	名詞	怪綺談 Stage 1 タイトル
@かいきだん	魔空間　～ Border Space	名詞	怪綺談 Stage 2 タイトル
@かいきだん	魔界　～ Devil's World	名詞	怪綺談 Stage 3 タイトル
@かいきだん	凍てつく世界で　～ Ice Dream	名詞	怪綺談 Stage 4 タイトル
@かいきだん	最後の審判　～ Judgement Day	名詞	怪綺談 Stage 5 タイトル
@かいきだん	神戦　～ Dream Battle	名詞	怪綺談 Final Stage タイトル
@かいきだん	絵本のとびら開いて　～ Open Sesami	名詞	怪綺談 Extra Stage タイトル
@かえいづか	花映塚　～ Higan Retour	名詞	花映塚：タイトル画面テーマ // [after Higan Retour] 書籍文花帖：Tr.03
@かえいづか	春色小径　～ Colorful Path	名詞	花映塚：霊夢のテーマ / 心綺楼：stage博麗神社・霊夢のテーマ
@かえいづか	オリエンタルダークフライト	名詞	花映塚：魔理沙のテーマ
@かえいづか	フラワリングナイト	名詞	花映塚：咲夜のテーマ / 緋想天：咲夜のテーマ
@かえいづか	東方妖々夢　～ Ancient Temple	名詞	妖々夢：5面テーマ / 萃夢想：妖夢(夜)のテーマ / 花映塚：妖夢のテーマ / 蓮台野夜行：Tr.03
@かえいづか	狂気の瞳　～ Invisible Full Moon	名詞	永夜抄：5面ボス・鈴仙のテーマ / 花映塚：鈴仙のテーマ / 緋想天：鈴仙のテーマ
@かえいづか	おてんば恋娘の冒険	名詞	花映塚：チルノのテーマ / 書籍文花帖：Tr.02
@かえいづか	幽霊楽団　～ Phantom Ensemble	名詞	妖々夢：4面ボス・プリズムリバー三姉妹のテーマ / 花映塚：プリズムリバー三姉妹のテーマ
@かえいづか	もう歌しか聞こえない　～ Flower Mix	名詞	花映塚：ミスティアのテーマ // 永夜抄：2面ボス・ミスティアのテーマ
@かえいづか	お宇佐さまの素い幡	名詞	花映塚：てゐのテーマ / 卯酉東海道：Tr.06
@かえいづか	風神少女　(Short Version)	名詞	花映塚：文のテーマ // [Full Version] 文花帖：撮影曲5 / 緋想天：文のテーマ / 書籍文花帖：Tr.01
@かえいづか	ポイズンボディ　～ Forsaken Doll	名詞	花映塚：メディのテーマ
@かえいづか	今昔幻想郷　～ Flower Land	名詞	花映塚：幽香のテーマ
@かえいづか	彼岸帰航　～ Riverside View	名詞	花映塚：小町のテーマ / 緋想天：小町のテーマ / 卯酉東海道：Tr.04
@かえいづか	六十年目の東方裁判　～ Fate of Sixty Years	名詞	花映塚：四季映姫のテーマ / 伊弉諾物質：Tr.04 // 紫香花：Tr.13
@かえいづか	花の映る塚	名詞	花映塚：会話のテーマ1
@かえいづか	此岸の塚	名詞	花映塚：会話のテーマ2
@かえいづか	花は幻想のままに	名詞	花映塚：エンディングテーマ
@かえいづか	魂の花　～ Another Dream...	名詞	花映塚：スタッフロールテーマ
@かぐや	永遠と須臾の罪人	名詞	永儚：輝夜の二つ名
@かぐや	人間らしくないお姫様	名詞	文：輝夜の二つ名(ターゲットコードネーム)
@かぐや	永遠のお姫様	名詞	求：輝夜の二つ名
@かぐや	永遠と須臾を操る程度の能力	名詞	永求：輝夜の能力
@かぐや	難題「龍の頸の玉　‐五色の弾丸‐」	名詞	永：輝夜 6B面EN--
@かぐや	神宝「ブリリアントドラゴンバレッタ」	名詞	永：輝夜 6B面--HL
